Элемент массива                Время в миллисекундах          Количество операций
-566654473                     600                            20                            
-1790888778                    600                            16                            
688326060                      1100                           18                            
525898651                      800                            18                            
1057223332                     600                            17                            
-1365981284                    700                            20                            
1496311768                     900                            21                            
-484615409                     900                            16                            
622329233                      600                            17                            
1837273718                     800                            24                            
-1888270550                    1300                           11                            
-2112584739                    600                            12                            
-109480454                     901                            22                            
1254865676                     800                            20                            
1037996170                     1100                           15                            
1423243036                     500                            20                            
-1322448875                    701                            17                            
993724853                      800                            19                            
-1253484369                    800                            16                            
1904228929                     1000                           21                            
-227917800                     700                            20                            
385160532                      800                            24                            
1968570799                     600                            23                            
-867363927                     900                            17                            
-957536892                     800                            13                            
-56120224                      600                            20                            
-1560070738                    800                            15                            
2065947365                     800                            18                            
-64677487                      400                            19                            
-4848827                       800                            21                            
949901091                      800                            16                            
1719328328                     800                            18                            
2135624538                     699                            26                            
-1134786827                    800                            16                            
-1460575846                    600                            17                            
55706559                       800                            20                            
1706827556                     700                            22                            
-543512491                     600                            15                            
-73886898                      699                            19                            
606571755                      901                            21                            
437996159                      800                            19                            
-232458405                     600                            26                            
1660592703                     600                            19                            
1471425974                     600                            18                            
-1264670172                    600                            15                            
1198882530                     1100                           17                            
-140165769                     1000                           18                            
592437691                      700                            22                            
-1907369925                    501                            17                            
-1860838821                    699                            16                            
788775585                      800                            15                            
1292484309                     500                            22                            
1163672948                     800                            15                            
-1495375170                    600                            12                            
192694182                      600                            9                             
-105452229                     600                            24                            
-514454266                     1000                           12                            
1990531113                     1000                           20                            
-528098368                     600                            15                            
42942129                       800                            20                            
-287651793                     600                            19                            
1395903813                     800                            18                            
1498202947                     500                            20                            
-91713410                      499                            16                            
-77444181                      600                            16                            
-1662246121                    800                            16                            
190862814                      600                            8                             
-429901028                     1000                           15                            
1930586690                     700                            19                            
-1443249514                    699                            19                            
-1893426129                    899                            20                            
1902367184                     700                            28                            
1823489194                     900                            26                            
283568674                      1200                           16                            
434943920                      699                            22                            
8101254                        600                            16                            
-114470259                     500                            20                            
1699812216                     499                            21                            
1352446350                     800                            17                            
1557298246                     1000                           21                            
-258761270                     600                            20                            
1343421100                     700                            17                            
-446608731                     700                            16                            
-475389693                     700                            18                            
-346541606                     699                            18                            
-355740329                     600                            21                            
-31727217                      600                            18                            
-308377009                     1000                           15                            
1796645484                     899                            24                            
1736800954                     1000                           20                            
-663733939                     1400                           20                            
-995272113                     400                            14                            
1865288009                     800                            27                            
-635801390                     600                            21                            
-166308541                     600                            11                            
1679212518                     701                            19                            
-73886898                      400                            19                            
1082546314                     800                            17                            
-325382811                     600                            19                            
-117013706                     400                            18                            
-807926821                     1100                           11                            
379625191                      1000                           24                            
-1517802303                    800                            19                            
-1686723908                    600                            17                            
-1454783197                    600                            21                            
-548452512                     700                            12                            
-1825225727                    600                            19                            
-2102688533                    800                            12                            
-1188496233                    899                            19                            
-635801390                     299                            21                            
-340520175                     600                            17                            
1766603243                     500                            25                            
656502079                      800                            18                            
110235221                      601                            21                            
1348975303                     699                            20                            
-2081716617                    700                            12                            
1209974419                     1600                           18                            
190862814                      600                            8                             
1249788350                     1101                           18                            
1638454015                     800                            26                            
1966429863                     800                            21                            
-1368031771                    600                            16                            
1497362765                     700                            22                            
190724508                      900                            31                            
907613139                      1101                           19                            
1172000587                     1200                           16                            
-1898026323                    900                            17                            
239799879                      800                            18                            
-1903336307                    699                            15                            
1197471843                     1000                           21                            
-1143893529                    600                            19                            
413020894                      700                            16                            
1506916798                     600                            24                            
-218374323                     899                            29                            
-437572177                     600                            14                            
1325492108                     800                            14                            
-1704695822                    800                            20                            
-1953381888                    1200                           12                            
1492778234                     699                            19                            
593142535                      1000                           20                            
944059064                      1000                           17                            
1945505948                     800                            28                            
897644999                      500                            15                            
80082679                       600                            24                            
-554618180                     1200                           14                            
1299936307                     500                            23                            
-583741481                     701                            17                            
258670306                      800                            20                            
1877501534                     600                            16                            
1027869168                     700                            21                            
1014967523                     699                            17                            
1625561798                     800                            19                            
742302688                      901                            15                            
807105570                      1099                           19                            
1873921673                     400                            15                            
1211976539                     800                            19                            
398608254                      699                            18                            
1448912184                     1399                           19                            
-721710123                     700                            19                            
-1757313676                    700                            16                            
-1145962403                    600                            18                            
591833055                      600                            19                            
2110213961                     900                            29                            
1106900140                     800                            15                            
-341174680                     1701                           16                            
1647888200                     501                            20                            
235382812                      701                            14                            
-658282004                     800                            14                            
967321920                      900                            19                            
1928468355                     900                            24                            
-1306680818                    1000                           21                            
-801146867                     1000                           13                            
617683624                      600                            14                            
-1822829870                    600                            17                            
58612287                       800                            22                            
882688339                      801                            20                            
1714589943                     600                            22                            
-677678156                     600                            17                            
43643865                       699                            23                            
-2030336714                    1299                           14                            
-1485711623                    1000                           13                            
-53743088                      1001                           25                            
1578976362                     900                            19                            
-514454266                     1000                           12                            
1876036896                     800                            17                            
-1100847300                    1400                           21                            
-1506935101                    600                            13                            
58784331                       599                            19                            
-487015421                     800                            19                            
-1355937905                    800                            14                            
-153935644                     901                            13                            
257940218                      600                            19                            
1305713375                     1000                           14                            
-2075511184                    500                            17                            
1370121689                     800                            18                            
825420768                      800                            17                            
-2007873146                    701                            17                            
327848375                      600                            19                            
-673479288                     1200                           14                            
-842135558                     1100                           16                            
-2072470494                    600                            16                            
-568568592                     800                            22                            
-232458405                     800                            26                            
-594120607                     700                            22                            
-167038399                     1099                           21                            
-271316030                     699                            22                            
-342797614                     700                            15                            
1164425930                     1000                           17                            
1380023527                     800                            21                            
1138905602                     699                            21                            
2047754842                     1400                           25                            
997400307                      900                            19                            
1278249537                     800                            22                            
596988047                      499                            22                            
573237408                      1299                           23                            
-790369848                     901                            15                            
1293601947                     600                            21                            
1017881252                     600                            16                            
-834104787                     701                            15                            
737720273                      800                            19                            
-1502167168                    600                            16                            
626307951                      700                            18                            
-1904752537                    701                            13                            
-1943494745                    701                            14                            
-1037545281                    800                            13                            
-1868727917                    499                            14                            
-630675491                     1000                           12                            
746411564                      800                            18                            
-946323455                     1000                           17                            
268934578                      1101                           17                            
1060246511                     901                            15                            
2022689703                     899                            19                            
2036847684                     700                            21                            
-1966481911                    1500                           14                            
-224811976                     899                            25                            
1522882544                     700                            17                            
1332718071                     900                            18                            
-408509323                     700                            16                            
481604280                      800                            16                            
-889220083                     1000                           15                            
-47439867                      800                            19                            
-2130545197                    900                            11                            
-1807988478                    701                            16                            
-834104787                     400                            15                            
1405750049                     600                            22                            
1623833205                     800                            21                            
1247568009                     700                            17                            
1402046507                     400                            19                            
1995658349                     1000                           20                            
-2139162729                    1000                           11                            
1253435771                     500                            19                            
-877042626                     901                            18                            
-1426959973                    1099                           17                            
164701523                      1000                           25                            
427496248                      600                            17                            
1169848356                     700                            18                            
-74958058                      600                            17                            
-912435145                     900                            17                            
1880438257                     499                            16                            
1951630073                     600                            18                            
-1808516028                    500                            20                            
1095769696                     900                            23                            
-1433127574                    800                            22                            
1836870347                     899                            26                            
-452114044                     499                            13                            
1707347275                     799                            23                            
1546520096                     800                            18                            
1496195704                     699                            20                            
-2050450347                    800                            12                            
443229729                      799                            15                            
-203978751                     600                            14                            
1820871848                     600                            25                            
-1427927991                    400                            14                            
2083669491                     899                            22                            
-1209990419                    899                            14                            
-910710317                     500                            12                            
-750467461                     800                            13                            
-455144017                     700                            23                            
-1824535389                    600                            15                            
113277506                      800                            22                            
-726157863                     500                            17                            
-536221643                     600                            11                            
-669201643                     600                            15                            
2112414565                     800                            22                            
2071448497                     699                            22                            
-904288160                     600                            13                            
1626072506                     700                            22                            
769823772                      800                            18                            
264771338                      600                            13                            
-470029804                     800                            21                            
-946530924                     600                            14                            
-1301611273                    699                            17                            
1973698172                     600                            20                            
-2115475701                    700                            11                            
1463368347                     800                            18                            
241084241                      1000                           20                            
1671570315                     800                            23                            
1261344676                     700                            18                            
-1631838371                    900                            15                            
-1142666597                    700                            23                            
827254277                      900                            18                            
-465691500                     1000                           18                            
548579986                      1200                           17                            
-148548417                     800                            17                            
-1264803493                    701                            14                            
1914010980                     900                            27                            
25643                          700                            22                            
52749618                       800                            19                            
859927425                      700                            25                            
-256953708                     701                            21                            
-769333970                     699                            13                            
-1996115272                    700                            9                             
556899377                      600                            21                            
-1423886923                    501                            16                            
-555045896                     800                            13                            
1819959121                     500                            23                            
-582891604                     700                            19                            
-1118446101                    701                            13                            
726197028                      800                            16                            
288125704                      700                            14                            
1554664915                     900                            20                            
389729555                      4099                           20                            
894444038                      1300                           26                            
-161486826                     1400                           15                            
-1141997052                    1100                           19                            
2121856374                     1200                           29                            
2095576856                     901                            24                            
1644884271                     600                            18                            
2034835827                     899                            24                            
684377434                      700                            12                            
-1382042802                    700                            16                            
-796550803                     701                            12                            
-341174680                     699                            16                            
-1611341044                    899                            14                            
-23287730                      900                            18                            
-1267571435                    700                            16                            
446454182                      899                            16                            
-1026678720                    899                            19                            
-1565660101                    900                            14                            
895014596                      600                            26                            
817283514                      701                            19                            
-481256969                     901                            18                            
1331364024                     899                            20                            
-1046451097                    1300                           14                            
1836599911                     900                            25                            
531025610                      800                            20                            
-1135812109                    600                            15                            
1472015192                     1100                           21                            
1263619338                     800                            21                            
-400091266                     1000                           19                            
-971992522                     1200                           16                            
1480805582                     700                            21                            
-1412764247                    900                            14                            
-1416857477                    701                            17                            
-920301475                     1000                           12                            
358583689                      1000                           18                            
-677678156                     699                            17                            
-2096461474                    901                            14                            
812884264                      400                            17                            
-1687859544                    1400                           16                            
993566058                      1200                           17                            
443709796                      501                            13                            
171472195                      1000                           23                            
1768309947                     700                            24                            
-1353670390                    800                            14                            
985752920                      700                            18                            
-769333970                     800                            13                            
342858336                      701                            14                            
603798206                      700                            21                            
688326060                      800                            18                            
-788185518                     600                            12                            
346068460                      500                            15                            
-2050045911                    1301                           13                            
-1793504043                    999                            16                            
167549070                      600                            21                            
-455009515                     700                            10                            
147773743                      699                            28                            
2083669491                     600                            22                            
1492778234                     700                            19                            
-113984079                     800                            21                            
-766934199                     499                            15                            
2096225403                     701                            25                            
683108469                      700                            22                            
-369599218                     600                            17                            
241062064                      800                            20                            
-743197001                     701                            15                            
839258019                      699                            18                            
-1046756238                    400                            13                            
-1461088201                    900                            15                            
-722769953                     600                            16                            
1288638684                     701                            23                            
772805317                      700                            21                            
-1804902367                    900                            18                            
916822839                      1000                           17                            
-1286884198                    800                            20                            
-1786473541                    699                            15                            
-45717945                      900                            21                            
-489654937                     700                            18                            
965466868                      700                            15                            
-1886658677                    699                            12                            
639121601                      700                            13                            
789465778                      1000                           17                            
-1062588861                    2200                           9                             
1039894517                     1600                           17                            
-1842587130                    1400                           14                            
1292556987                     1100                           19                            
-1474269794                    1200                           14                            
797152925                      600                            21                            
325891064                      1200                           16                            
-114717699                     1200                           18                            
774717704                      1200                           15                            
1375167920                     1100                           18                            
599683953                      800                            18                            
712539038                      899                            22                            
577613125                      701                            18                            
-1250690740                    1200                           19                            
-1063191730                    699                            8                             
-861586582                     1600                           19                            
967321920                      501                            19                            
-1609007370                    1800                           15                            
-1400263174                    1301                           15                            
137377070                      1200                           19                            
-2073902820                    1200                           12                            
2064831495                     1400                           19                            
-1626519806                    1300                           14                            
-10300915                      1000                           20                            
-172173914                     800                            19                            
-1405138678                    700                            13                            
-1659370757                    800                            21                            
-1558124413                    800                            13                            
-2080192445                    699                            15                            
1549902575                     1200                           20                            
-1502103873                    700                            16                            
834896662                      1100                           16                            
834004791                      500                            17                            
1781316844                     900                            22                            
-48950108                      600                            19                            
269449974                      901                            19                            
173388484                      699                            25                            
104919916                      1101                           17                            
2065947365                     600                            18                            
-1307685040                    800                            20                            
877050974                      800                            22                            
1178540749                     1200                           18                            
960941041                      700                            13                            
-1144620264                    800                            19                            
-2124496325                    800                            12                            
-1699280397                    800                            13                            
2111279596                     701                            21                            
-346525040                     1100                           18                            
-838723                        800                            23                            
-328331574                     700                            19                            
1772257377                     699                            21                            
1134137465                     800                            17                            
-642191163                     800                            17                            
-1267571435                    700                            16                            
-771950492                     700                            14                            
-1662589455                    700                            15                            
-953450172                     800                            17                            
-137494003                     601                            19                            
2097152516                     899                            28                            
-1953529524                    900                            12                            
961176050                      500                            14                            
-998026897                     600                            12                            
-437660903                     1701                           15                            
2141536292                     899                            31                            
745979717                      1100                           17                            
-1308847771                    400                            19                            
1453024511                     1101                           20                            
-645049670                     501                            18                            
-2050495184                    901                            11                            
-306272388                     1000                           14                            
1187775382                     1000                           17                            
1387762033                     800                            20                            
-1547360671                    700                            14                            
-2041261057                    600                            15                            
532129128                      899                            18                            
1426795330                     700                            23                            
2142741384                     600                            28                            
307439355                      700                            14                            
-224811976                     700                            25                            
332604011                      699                            14                            
-1205114807                    799                            13                            
38132604                       1100                           19                            
1677864401                     700                            21                            
489241897                      800                            22                            
95970090                       899                            25                            
906659929                      700                            18                            
1770556422                     600                            20                            
-1953181438                    501                            13                            
-1983647264                    901                            15                            
537695152                      400                            21                            
1667015385                     600                            20                            
-473158397                     800                            17                            
43322723                       400                            21                            
-118653624                     600                            16                            
-144550752                     600                            18                            
-945611917                     800                            19                            
1511579634                     800                            28                            
-1312516520                    500                            19                            
-977695231                     700                            14                            
-1346564964                    600                            20                            
294055082                      699                            18                            
740313763                      600                            24                            
-1737347723                    1100                           19                            
-1831612804                    699                            17                            
-1294211420                    699                            22                            
-1608203985                    500                            19                            
-43623848                      600                            23                            
694464416                      700                            13                            
985124762                      699                            17                            
-1464963452                    599                            18                            
420202037                      1000                           20                            
346026457                      600                            19                            
-1369804656                    600                            16                            
1554219937                     699                            18                            
1862870552                     900                            25                            
1172114070                     500                            15                            
-2115475701                    600                            11                            
-1051321472                    699                            11                            
-1973419413                    800                            15                            
1910339525                     800                            20                            
-1917597678                    600                            19                            
-1474055357                    500                            15                            
-184447496                     701                            15                            
-1796422501                    699                            12                            
208333616                      800                            12                            
-1035156309                    700                            16                            
1726598882                     699                            23                            
Среднее время удаления: 1188.384         Среднее кол-во операций при удалении: 17.853
